"tPi_ns","Delta_g3_minus_g3prime","clean_infidelity","clean_leakage","qs_infidelity","qs_leakage","onef_infidelity","onef_leakage"
61.85895741317418,14,7.370437593579027e-12,7.370326571276564e-12,0.00000907200932042329,1.0601184756708903e-7,0.000004415922668412619,1.3949170130256318e-7
61.420241403151664,14.100000000000001,7.256528711252486e-12,7.256639733554948e-12,0.000010072938117719477,1.0786249665495351e-7,0.000005011837323960489,1.4282047857638868e-7
60.98770449186186,14.200000000000001,7.129519197235368e-12,7.12963021953783e-12,0.000011202409617023235,1.0327086501782378e-7,0.000003942012704690745,1.3917828181553292e-7
60.56121704786283,14.3,6.994183010533561e-12,6.994071988231099e-12,0.00000892465634659223,1.0491690519476293e-7,0.000005212338097069224,1.3581098399328972e-7
60.14065304058602,14.4,6.8506311734495284e-12,6.850520151147066e-12,0.000009413927465619642,1.213628986784787e-7,0.000004232346478301175,1.391236607867219e-7
59.72588991616818,14.5,6.694866883094619e-12,6.6947558607921565e-12,0.000009605331400073803,9.803631439431194e-8,0.0000049645739959119916,1.445624989676597e-7
59.31680847838621,14.600000000000001,6.534439656036284e-12,6.534217611431359e-12,0.00000899630241284366,1.065624677110133e-7,0.000004394615766777354,1.2972908478736667e-7
58.9132927744516,14.700000000000001,6.3655747339907975e-12,6.3655747339907975e-12,0.000008264158031293656,1.0840995085747985e-7,0.000003993886292587012,1.4080318138709468e-7
58.515229985435035,14.8,6.1916027860320355e-12,6.191713808334498e-12,0.00000817424130675204,1.1180186661519098e-7,0.0000035821729129342784,1.251749230685162e-7
58.12251032110326,14.9,6.0139671020920105e-12,6.0137450574870854e-12,0.00000895671535669662,1.0509151186277599e-7,0.000003682385257829934,1.3144902065442832e-7
57.735026918962575,15,5.834221994405198e-12,5.8339999498002726e-12,0.000008673403046159933,1.0755895164027417e-7,0.000004304913776868036,1.4049926688963765e-7
57.3526757473138,15.100000000000001,5.650591106132197e-12,5.650591106132197e-12,0.000008636598211916313,1.0467273825975897e-7,0.000003959648344117328,1.37318839938394e-7
56.975355512134115,15.200000000000001,5.459410701291745e-12,5.459410701291745e-12,0.00000929927706862399,1.1011171500041605e-7,0.000004518005635529287,1.3987030742790286e-7
56.60296756761037,15.3,5.273448344667031e-12,5.2733373223645685e-12,0.000009187582087031298,8.476861261541568e-8,0.0000037406483719065743,1.3851312867685374e-7
56.235415830158345,15.4,5.078160114635466e-12,5.077938070030541e-12,0.000007894032681868834,9.375670486755361e-8,0.0000040206460416220006,1.372024454826537e-7
55.87260669577023,15.5,4.887423799004864e-12,4.887645843609789e-12,0.000008515725651218609,1.0906548615075007e-7,0.0000033888702199152965,1.254222796509552e-7
55.51444896054093,15.600000000000001,4.700018152448138e-12,4.700018152448138e-12,0.000007201167807976416,9.181565371385592e-8,0.000003944436883515645,1.389014112779252e-7
55.16085374423176,15.700000000000001,4.5072834353732105e-12,4.5072834353732105e-12,0.000008645136053936908,9.568813075622184e-8,0.000004380271056422247,1.2425318775544093e-7
